,Timestamp,Tweet,remove_stop_words,polarity,sentiment
10,2017-05-06 08:52:50,"b'Fulfill your shopping binge of the real essence of #Rajasthan at #Kalagram, #ChokhiDhani #Village, #Jaipur,\xe2\x80\xa6 https://t.co/lNtPsNFfYw'","b'Fulfillshoppingbingerealessence#Rajasthan#Kalagram,#ChokhiDhani#Village,#Jaipur,\xe2\x80\xa6https://t.co/lNtPsNFfYw'",0.2,positive
11,2017-05-06 07:37:55,b'#GunjeetKaur Of #RajasthanTourism Chalks The Summer Vacation Route To Villages https://t.co/YOPvoOKnqM\n\n#IndianWomen',b'#GunjeetKaurOf#RajasthanTourismChalksTheSummerVacationRouteToVillageshttps://t.co/YOPvoOKnqM\n\n#IndianWomen',0.0,positive
12,2017-05-04 13:12:00,b'Explore the world in itself at #Chokhidhani #Resort #jaipurtour #Rajasthantourism  https://t.co/CzVrgJqmcu\n#Travelguild #Janekyadikhjaye',b'Exploreworld#Chokhidhani#Resort#jaipurtour#Rajasthantourismhttps://t.co/CzVrgJqmcu\n#Travelguild#Janekyadikhjaye',0.0,positive
13,2017-05-03 15:22:02,b'Decode the #shopping #secret of the #pinkcity \nhttps://t.co/EIpAgU2pn0\n#Rajasthantourism #Jaipurtour #Travelguild #Chokhidhani #resort',b'Decode#shopping#secret#pinkcity\nhttps://t.co/EIpAgU2pn0\n#Rajasthantourism#Jaipurtour#Travelguild#Chokhidhani#resort',-0.4,negative
14,2017-05-03 09:52:40,b'#Rajasthan #RajasthanTourism #UNWTO Check out my @Behance project: #PromoteVillages #PromoteEducation #SaveGirlChild https://t.co/cb8W4ZPEIF',b'#Rajasthan#RajasthanTourism#UNWTOCheck@Behanceproject:#PromoteVillages#PromoteEducation#SaveGirlChildhttps://t.co/cb8W4ZPEIF',0.0,positive
15,2017-05-03 05:16:45,b'Working till the day ends.\n\n#work #salt #lake #saltlake #sambhar #rajasthan #rajasthantourism #india #photography... https://t.co/9NxXQTN02B',b'Workingtilldayends.\n\n#work#salt#lake#saltlake#sambhar#rajasthan#rajasthantourism#india#photography...https://t.co/9NxXQTN02B',0.0,positive
16,2017-05-02 09:21:52,"b'RT @WELCOMHERITAGE: WelcomHeritage Bal Samand Lake Palace, Jodhpur\n#rajasthantourism #jodhpur #heritage #lake #palace #royal #bluecit https\xe2\x80\xa6'","b'RT@WELCOMHERITAGE:WelcomHeritageBalSamandLakePalace,Jodhpur\n#rajasthantourism#jodhpur#heritage#lake#palace#royal#bluecithttps\xe2\x80\xa6'",0.0,positive
17,2017-05-01 10:10:06,b'Beat the heat at #ChokhiDhani #Resort #Jaipur \nhttps://t.co/rDwGg9HWWl\n#Rajasthantourism #travelguild\xe2\x80\xa6 https://t.co/LenkPq0xoZ',b'Beatheat#ChokhiDhani#Resort#Jaipur\nhttps://t.co/rDwGg9HWWl\n#Rajasthantourism#travelguild\xe2\x80\xa6https://t.co/LenkPq0xoZ',0.0,positive
18,2017-04-29 14:17:16,"b'RT @Mohetachauhan: Please like, share and subscribe.\n\n#Mandwa #tourist #rajasthantourism #jaipur #jaisalmer #kota #bikaner... https://t.co/\xe2\x80\xa6'","b'RT@Mohetachauhan:Pleaselike,sharesubscribe.\n\n#Mandwa#tourist#rajasthantourism#jaipur#jaisalmer#kota#bikaner...https://t.co/\xe2\x80\xa6'",0.0,positive
19,2017-05-08 13:34:36,b'@incredibleindia @my_rajasthan #IncredibleIndia Watch her video BrandAmb #RajasthanTourism @VasundharaBJP @Ra_THORe https://t.co/VnFZZKrIgB',b'@incredibleindia@my_rajasthan#IncredibleIndiaWatchvideoBrandAmb#RajasthanTourism@VasundharaBJP@Ra_THORehttps://t.co/VnFZZKrIgB',0.0,positive
20,2017-05-08 10:21:48,b'RT @cdgchokhidhani: #Relive the #History of Haldi Ghati War at #ChokhiDhani #Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour #Rajasthantourism\xe2\x80\xa6',b'RT@cdgchokhidhani:#Relive#HistoryHaldiGhatiWar#ChokhiDhani#Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour#Rajasthantourism\xe2\x80\xa6',0.0,positive
21,2017-05-08 09:01:16,b'#Relive the #History of Haldi Ghati War at #ChokhiDhani #Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour\xe2\x80\xa6 https://t.co/C5yCiHuJ4i',b'#Relive#HistoryHaldiGhatiWar#ChokhiDhani#Village.\nhttps://t.co/3b7Q0EoVTo\n#Jaipurtour\xe2\x80\xa6https://t.co/C5yCiHuJ4i',0.0,positive
22,2017-05-07 11:56:25,b'Village Life \n#rajasthan #rajasthandairies #rajasthantourism #khuri #khuridesert #colours #coloursofindia #ig_indi\xe2\x80\xa6\xe2\x80\xa6 https://t.co/H1898JzBTB',b'VillageLife\n#rajasthan#rajasthandairies#rajasthantourism#khuri#khuridesert#colours#coloursofindia#ig_indi\xe2\x80\xa6\xe2\x80\xa6https://t.co/H1898JzBTB',0.0,positive
23,2017-05-07 11:56:18,b'Village Life \n#rajasthan #rajasthandairies #rajasthantourism #khuri #khuridesert #colours\xe2\x80\xa6 https://t.co/OaFHxR8eaT',b'VillageLife\n#rajasthan#rajasthandairies#rajasthantourism#khuri#khuridesert#colours\xe2\x80\xa6https://t.co/OaFHxR8eaT',0.0,positive
24,2017-05-07 07:34:10,b'#rsrtc #rajasthantourism paid double charges for cold drink 50 rs for 25 rs bottle in midway Jaipur delhi volvo #loot #rajasthan',b'#rsrtc#rajasthantourismpaiddoublechargescolddrink50rs25rsbottlemidwayJaipurdelhivolvo#loot#rajasthan',-0.3,negative
25,2017-05-06 12:44:46,b'RT @cdgchokhidhani: #Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps:\xe2\x80\xa6',b'RT@cdgchokhidhani:#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps:\xe2\x80\xa6',0.0,positive
26,2017-05-06 12:43:12,b'RT @cdgchokhidhani: #Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps:\xe2\x80\xa6',b'RT@cdgchokhidhani:#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps:\xe2\x80\xa6',0.0,positive
27,2017-05-06 12:36:23,b'RT @cdgchokhidhani: #Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps:\xe2\x80\xa6',b'RT@cdgchokhidhani:#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps:\xe2\x80\xa6',0.0,positive
28,2017-05-06 12:36:01,b'#Colors of life \n#Rajasthantourism #Jaipurtour #Tourism #Janekyadikhjaye #Luxurytravel #luxuryhotel #Travelguild\nhttps://t.co/VpWAIkyOM5',b'#Colorslife\n#Rajasthantourism#Jaipurtour#Tourism#Janekyadikhjaye#Luxurytravel#luxuryhotel#Travelguild\nhttps://t.co/VpWAIkyOM5',0.0,positive
29,2017-05-06 08:52:50,"b'Fulfill your shopping binge of the real essence of #Rajasthan at #Kalagram, #ChokhiDhani #Village, #Jaipur,\xe2\x80\xa6 https://t.co/lNtPsNFfYw'","b'Fulfillshoppingbingerealessence#Rajasthan#Kalagram,#ChokhiDhani#Village,#Jaipur,\xe2\x80\xa6https://t.co/lNtPsNFfYw'",0.2,positive
30,2017-05-06 07:37:55,b'#GunjeetKaur Of #RajasthanTourism Chalks The Summer Vacation Route To Villages https://t.co/YOPvoOKnqM\n\n#IndianWomen',b'#GunjeetKaurOf#RajasthanTourismChalksTheSummerVacationRouteToVillageshttps://t.co/YOPvoOKnqM\n\n#IndianWomen',0.0,positive
31,2017-05-04 13:12:00,b'Explore the world in itself at #Chokhidhani #Resort #jaipurtour #Rajasthantourism  https://t.co/CzVrgJqmcu\n#Travelguild #Janekyadikhjaye',b'Exploreworld#Chokhidhani#Resort#jaipurtour#Rajasthantourismhttps://t.co/CzVrgJqmcu\n#Travelguild#Janekyadikhjaye',0.0,positive
32,2017-05-03 15:22:02,b'Decode the #shopping #secret of the #pinkcity \nhttps://t.co/EIpAgU2pn0\n#Rajasthantourism #Jaipurtour #Travelguild #Chokhidhani #resort',b'Decode#shopping#secret#pinkcity\nhttps://t.co/EIpAgU2pn0\n#Rajasthantourism#Jaipurtour#Travelguild#Chokhidhani#resort',-0.4,negative
33,2017-05-03 09:52:40,b'#Rajasthan #RajasthanTourism #UNWTO Check out my @Behance project: #PromoteVillages #PromoteEducation #SaveGirlChild https://t.co/cb8W4ZPEIF',b'#Rajasthan#RajasthanTourism#UNWTOCheck@Behanceproject:#PromoteVillages#PromoteEducation#SaveGirlChildhttps://t.co/cb8W4ZPEIF',0.0,positive
34,2017-05-03 05:16:45,b'Working till the day ends.\n\n#work #salt #lake #saltlake #sambhar #rajasthan #rajasthantourism #india #photography... https://t.co/9NxXQTN02B',b'Workingtilldayends.\n\n#work#salt#lake#saltlake#sambhar#rajasthan#rajasthantourism#india#photography...https://t.co/9NxXQTN02B',0.0,positive
35,2017-05-02 09:21:52,"b'RT @WELCOMHERITAGE: WelcomHeritage Bal Samand Lake Palace, Jodhpur\n#rajasthantourism #jodhpur #heritage #lake #palace #royal #bluecit https\xe2\x80\xa6'","b'RT@WELCOMHERITAGE:WelcomHeritageBalSamandLakePalace,Jodhpur\n#rajasthantourism#jodhpur#heritage#lake#palace#royal#bluecithttps\xe2\x80\xa6'",0.0,positive
36,2017-05-01 10:10:06,b'Beat the heat at #ChokhiDhani #Resort #Jaipur \nhttps://t.co/rDwGg9HWWl\n#Rajasthantourism #travelguild\xe2\x80\xa6 https://t.co/LenkPq0xoZ',b'Beatheat#ChokhiDhani#Resort#Jaipur\nhttps://t.co/rDwGg9HWWl\n#Rajasthantourism#travelguild\xe2\x80\xa6https://t.co/LenkPq0xoZ',0.0,positive
37,2017-04-29 14:17:16,"b'RT @Mohetachauhan: Please like, share and subscribe.\n\n#Mandwa #tourist #rajasthantourism #jaipur #jaisalmer #kota #bikaner... https://t.co/\xe2\x80\xa6'","b'RT@Mohetachauhan:Pleaselike,sharesubscribe.\n\n#Mandwa#tourist#rajasthantourism#jaipur#jaisalmer#kota#bikaner...https://t.co/\xe2\x80\xa6'",0.0,positive
38,2017-06-18 11:27:52,"b'Snack Time, by Preeti Patel - https://t.co/ZgWvrqXUj4 - #PreetiPatel #Pushkar #Rajasthan'","b'SnackTime,PreetiPatel-https://t.co/ZgWvrqXUj4-#PreetiPatel#Pushkar#Rajasthan'",0.0,positive
39,2017-06-17 23:49:14,"b'Snack Time, by Preeti Patel - https://t.co/St0UvETbL1 - #PreetiPatel #Pushkar #Rajasthan'","b'SnackTime,PreetiPatel-https://t.co/St0UvETbL1-#PreetiPatel#Pushkar#Rajasthan'",0.0,positive
40,2017-06-17 23:47:19,"b'Snack Time, by Preeti Patel - https://t.co/9yzw4zOmyI - #PreetiPatel #Pushkar #Rajasthan'","b'SnackTime,PreetiPatel-https://t.co/9yzw4zOmyI-#PreetiPatel#Pushkar#Rajasthan'",0.0,positive
41,2017-06-17 23:46:13,"b'Snack Time, by Preeti Patel - https://t.co/DWie1t3KR0 - #PreetiPatel #Pushkar #Rajasthan'","b'SnackTime,PreetiPatel-https://t.co/DWie1t3KR0-#PreetiPatel#Pushkar#Rajasthan'",0.0,positive
42,2017-06-17 18:01:05,b'Swag Of The Day #waheguru #pushkar #ajmer https://t.co/dNJ1kXhrfO',b'SwagOfTheDay#waheguru#pushkar#ajmerhttps://t.co/dNJ1kXhrfO',0.0,positive
43,2017-06-17 13:10:26,"b'Eyes Of The Nomad, by Sudeep Mehta - https://t.co/ScGt703N7I - #Pushkar #Rajasthan #SudeepMehta'","b'EyesOfTheNomad,SudeepMehta-https://t.co/ScGt703N7I-#Pushkar#Rajasthan#SudeepMehta'",0.0,positive
44,2017-06-16 14:37:55,"b'The Little Crying Kid, by Sudeep Mehta - https://t.co/z7aUDEhMqe - #Maharashtra #Pushkar #SudeepMehta'","b'TheLittleCryingKid,SudeepMehta-https://t.co/z7aUDEhMqe-#Maharashtra#Pushkar#SudeepMehta'",-0.19375,negative
45,2017-06-16 08:32:45,b'#Throwback Those #GoldenDays #Jaipur #Pushkar #JanaNaDilSeDoor #ShiVik #ViTharv woh bhi kya din the\xf0\x9f\x98\xa2\xf0\x9f\x98\xad https://t.co/MYm21hj790',b'#ThrowbackThose#GoldenDays#Jaipur#Pushkar#JanaNaDilSeDoor#ShiVik#ViTharvwohbhikyadinthe\xf0\x9f\x98\xa2\xf0\x9f\x98\xadhttps://t.co/MYm21hj790',0.0,positive
46,2017-06-16 06:02:57,b'RT @WondersIndia: Golden Triangle Tour with #Pushkar\nDestinations Covered: Delhi \xe2\x80\x93 Agra \xe2\x80\x93 Fatehpur Sikri \xe2\x80\x93 Jaipur \xe2\x80\x93 Pushkar \xe2\x80\x93 Delhi https:/\xe2\x80\xa6',b'RT@WondersIndia:GoldenTriangleTour#Pushkar\nDestinationsCovered:Delhi\xe2\x80\x93Agra\xe2\x80\x93FatehpurSikri\xe2\x80\x93Jaipur\xe2\x80\x93Pushkar\xe2\x80\x93Delhihttps:/\xe2\x80\xa6',0.3,positive
47,2017-06-16 04:48:30,b'Golden Triangle Tour with #Pushkar\nDestinations Covered: Delhi \xe2\x80\x93 Agra \xe2\x80\x93 Fatehpur Sikri \xe2\x80\x93 Jaipur \xe2\x80\x93 Pushkar \xe2\x80\x93 Delhi\xe2\x80\xa6 https://t.co/65vZBdDvKT',b'GoldenTriangleTour#Pushkar\nDestinationsCovered:Delhi\xe2\x80\x93Agra\xe2\x80\x93FatehpurSikri\xe2\x80\x93Jaipur\xe2\x80\x93Pushkar\xe2\x80\x93Delhi\xe2\x80\xa6https://t.co/65vZBdDvKT',0.3,positive
48,2017-06-15 18:44:45,"b'Snack Time, by Preeti Patel - https://t.co/St0UvETbL1 - #PreetiPatel #Pushkar #Rajasthan'","b'SnackTime,PreetiPatel-https://t.co/St0UvETbL1-#PreetiPatel#Pushkar#Rajasthan'",0.0,positive
49,2017-06-15 18:37:52,"b'Snack Time, by Preeti Patel - https://t.co/9yzw4zOmyI - #PreetiPatel #Pushkar #Rajasthan'","b'SnackTime,PreetiPatel-https://t.co/9yzw4zOmyI-#PreetiPatel#Pushkar#Rajasthan'",0.0,positive
50,2017-06-15 18:36:45,"b'Snack Time, by Preeti Patel - https://t.co/DWie1t3KR0 - #PreetiPatel #Pushkar #Rajasthan'","b'SnackTime,PreetiPatel-https://t.co/DWie1t3KR0-#PreetiPatel#Pushkar#Rajasthan'",0.0,positive
51,2017-06-15 16:45:22,"b""Behold, The Beauty Of #Pushkar's Holy Men https://t.co/TBVvUI9HvI via @HuffPostArts  #india""","b''Behold,TheBeautyOf#Pushkar'sHolyMenhttps://t.co/TBVvUI9HvIvia@HuffPostArts#india''",0.0,positive
52,2017-06-15 07:35:19,"b'#Pushkar Master Plan 2031 Report, #Pushkar Master Plan 2031 Maps - https://t.co/6rwE8Qgas4 \n\n#PushkarMasterPlan\xe2\x80\xa6 https://t.co/NoF1Npa49I'","b'#PushkarMasterPlan2031Report,#PushkarMasterPlan2031Maps-https://t.co/6rwE8Qgas4\n\n#PushkarMasterPlan\xe2\x80\xa6https://t.co/NoF1Npa49I'",0.0,positive
53,2017-06-14 23:50:33,"b'RT @Arshi7Khan: Padampura village near #Pushkar in #Ajmer \nPopulation of villagers = 1500 \nCount of Neem trees = 25,000 \nCount of trees ove\xe2\x80\xa6'","b'RT@Arshi7Khan:Padampuravillagenear#Pushkar#Ajmer\nPopulationvillagers=1500\nCountNeemtrees=25,000\nCounttreesove\xe2\x80\xa6'",0.1,positive
54,2017-06-14 22:37:07,"b'Padampura village near #Pushkar in #Ajmer \nPopulation of villagers = 1500 \nCount of Neem trees = 25,000 \nCount of t\xe2\x80\xa6 https://t.co/2mFvV6M8st'","b'Padampuravillagenear#Pushkar#Ajmer\nPopulationvillagers=1500\nCountNeemtrees=25,000\nCountt\xe2\x80\xa6https://t.co/2mFvV6M8st'",0.1,positive
55,2017-06-14 16:44:16,b'@vivekagnihotri I visit #Pushkar just to pray in only #Brahma temple.',b'@vivekagnihotriIvisit#Pushkarpray#Brahmatemple.',0.0,positive
56,2017-06-14 15:18:56,"b'The Little Crying Kid, by Sudeep Mehta - https://t.co/ebjKF77O4n - #Maharashtra #Pushkar #SudeepMehta'","b'TheLittleCryingKid,SudeepMehta-https://t.co/ebjKF77O4n-#Maharashtra#Pushkar#SudeepMehta'",-0.19375,negative
57,2017-06-14 15:12:21,"b'The Little Crying Kid, by Sudeep Mehta - https://t.co/ELt4uWdSRK - #Maharashtra #Pushkar #SudeepMehta'","b'TheLittleCryingKid,SudeepMehta-https://t.co/ELt4uWdSRK-#Maharashtra#Pushkar#SudeepMehta'",-0.19375,negative
58,2017-06-14 15:10:06,"b'The Little Crying Kid, by Sudeep Mehta - https://t.co/TRdL3q1JiI - #Maharashtra #Pushkar #SudeepMehta'","b'TheLittleCryingKid,SudeepMehta-https://t.co/TRdL3q1JiI-#Maharashtra#Pushkar#SudeepMehta'",-0.19375,negative
59,2017-06-12 17:25:07,b'RT @EShraman: Brothers \xf0\x9f\x98\x8d #Shravan #Pushkar\nSisters \xe2\x9d\xa4\xef\xb8\x8f #Suman #Preeti\n#EkDujeKeVaaste https://t.co/yPkVuNsVDC',b'RT@EShraman:Brothers\xf0\x9f\x98\x8d#Shravan#Pushkar\nSisters\xe2\x9d\xa4\xef\xb8\x8f#Suman#Preeti\n#EkDujeKeVaastehttps://t.co/yPkVuNsVDC',0.0,positive
60,2017-06-12 15:27:52,b'Upon return from #Pushkar the next big task is to publish all the videos. However editing takes a lot of time and... https://t.co/T0qvq72dtR',b'Uponreturn#Pushkarnextbigtaskpublishvideos.Howevereditingtakeslottime...https://t.co/T0qvq72dtR',0.0,positive
61,2017-06-12 12:44:05,b'RT @Talenthouse_IND: Click from the #Rajasthan #Pushkar #Photography by @Talenthouse_IND \n#JyotirvidKhivrajSharma\nFor more photos - https:/\xe2\x80\xa6',b'RT@Talenthouse_IND:Click#Rajasthan#Pushkar#Photography@Talenthouse_IND\n#JyotirvidKhivrajSharma\nForphotos-https:/\xe2\x80\xa6',0.5,positive
62,2017-06-12 12:08:26,"b'A Hard Day, by Preeti Patel - https://t.co/B1WB5iwSNI - #PreetiPatel #Pushkar #Rajasthan'","b'AHardDay,PreetiPatel-https://t.co/B1WB5iwSNI-#PreetiPatel#Pushkar#Rajasthan'",-0.2916666666666667,negative
63,2017-06-12 12:02:30,"b'A Hard Day, by Preeti Patel - https://t.co/epvWDvkhy2 - #PreetiPatel #Pushkar #Rajasthan'","b'AHardDay,PreetiPatel-https://t.co/epvWDvkhy2-#PreetiPatel#Pushkar#Rajasthan'",-0.2916666666666667,negative
64,2017-06-12 12:00:36,"b'A Hard Day, by Preeti Patel - https://t.co/ANDBxIJSLN - #PreetiPatel #Pushkar #Rajasthan'","b'AHardDay,PreetiPatel-https://t.co/ANDBxIJSLN-#PreetiPatel#Pushkar#Rajasthan'",-0.2916666666666667,negative
65,2017-06-12 11:46:16,b'Click from the #Rajasthan #Pushkar #Photography by @Talenthouse_IND \n#JyotirvidKhivrajSharma\nFor more photos -\xe2\x80\xa6 https://t.co/8h9zrWus5o',b'Click#Rajasthan#Pushkar#Photography@Talenthouse_IND\n#JyotirvidKhivrajSharma\nForphotos-\xe2\x80\xa6https://t.co/8h9zrWus5o',0.5,positive
66,2017-06-12 09:16:57,b'RT @aryavrittravel: Join The amazing Pushkar Fair and take a new experinece in rajasthan: - https://t.co/4yZXjA8z52\n#Pushkar #mondaymotivat\xe2\x80\xa6',b'RT@aryavrittravel:JoinTheamazingPushkarFairtakenewexperinecerajasthan:-https://t.co/4yZXjA8z52\n#Pushkar#mondaymotivat\xe2\x80\xa6',0.4787878787878788,positive
67,2017-06-12 07:31:52,"b'My #cycle trip to #pushkar was mesmerizing, sharing the top pictures of the trip! More videos coming on my... https://t.co/PqQesv1KoQ'","b'My#cycletrip#pushkarmesmerizing,sharingtoppicturestrip!Morevideoscoming...https://t.co/PqQesv1KoQ'",0.47500000000000003,positive
68,2017-06-11 18:26:40,b'Hats off! This is Padampura village near #Pushkar in #Ajmer which is setting example to masses. It is astonishing... https://t.co/63SAwrC94i',b'Hats!ThisPadampuravillagenear#Pushkar#Ajmersettingexamplemasses.Itastonishing...https://t.co/63SAwrC94i',0.3,positive
69,2017-06-11 09:49:35,"b""Head's up Sandstorm coming !\n\n#pushkar #rajasthan #travel #traveling #instatravel #instago\xe2\x80\xa6 https://t.co/In133CUjQO""",b''Head'sSandstormcoming!\n\n#pushkar#rajasthan#travel#traveling#instatravel#instago\xe2\x80\xa6https://t.co/In133CUjQO'',0.0,positive
70,2017-06-11 03:30:10,b'RT @lokeshon: \xf0\x9f\x8c\xb7\xf0\x9f\x8d\xb5\xf0\x9f\x8c\x85 Good Morning \xf0\x9f\x98\x8a #Kumawat #Pushkar #Ajmer #Jaipurites ##Jaipur #Rajasthan #Tourism #Tourist #Travel #Heritage https://t.co/\xe2\x80\xa6',b'RT@lokeshon:\xf0\x9f\x8c\xb7\xf0\x9f\x8d\xb5\xf0\x9f\x8c\x85GoodMorning\xf0\x9f\x98\x8a#Kumawat#Pushkar#Ajmer#Jaipurites##Jaipur#Rajasthan#Tourism#Tourist#Travel#Heritagehttps://t.co/\xe2\x80\xa6',0.7,positive
71,2017-06-11 01:19:37,b'\xf0\x9f\x8c\xb7\xf0\x9f\x8d\xb5\xf0\x9f\x8c\x85 Good Morning \xf0\x9f\x98\x8a #Kumawat #Pushkar #Ajmer #Jaipurites ##Jaipur #Rajasthan #Tourism #Tourist #Travel #Heritage https://t.co/x2zLdPNxvU',b'\xf0\x9f\x8c\xb7\xf0\x9f\x8d\xb5\xf0\x9f\x8c\x85GoodMorning\xf0\x9f\x98\x8a#Kumawat#Pushkar#Ajmer#Jaipurites##Jaipur#Rajasthan#Tourism#Tourist#Travel#Heritagehttps://t.co/x2zLdPNxvU',0.7,positive
72,2017-06-10 15:27:35,"b'City view of #pushkar @ Brahma Temple, Pushkar https://t.co/agw4I5iaNc'","b'Cityview#pushkar@BrahmaTemple,Pushkarhttps://t.co/agw4I5iaNc'",0.0,positive
73,2017-06-10 15:19:13,"b'A Hard Day, by Preeti Patel - https://t.co/Ror2g2wlq5 - #PreetiPatel #Pushkar #Rajasthan'","b'AHardDay,PreetiPatel-https://t.co/Ror2g2wlq5-#PreetiPatel#Pushkar#Rajasthan'",-0.2916666666666667,negative
74,2017-06-10 08:19:02,b'#A #Complete #History of #Pushkar \xe2\x80\x93 #Must #Visit #attraction in #Pushkar \nhttps://t.co/jyYTUgA5BZ https://t.co/0vDFycM2X7',b'#A#Complete#History#Pushkar\xe2\x80\x93#Must#Visit#attraction#Pushkar\nhttps://t.co/jyYTUgA5BZhttps://t.co/0vDFycM2X7',0.1,positive
75,2017-06-10 08:17:57,b'#A #Complete #History of #Pushkar \xe2\x80\x93 #Must #Visit #attraction in #Pushkar \n@ https://t.co/kDGouu8NXr https://t.co/1JhYAhPZSR',b'#A#Complete#History#Pushkar\xe2\x80\x93#Must#Visit#attraction#Pushkar\n@https://t.co/kDGouu8NXrhttps://t.co/1JhYAhPZSR',0.1,positive
